birthday,gender,level,position,department,education_level,major,experience,senority,current_position_experience,time_with_line_manager,salary,stock_option_level,num_working_hours,workplace_requirement_level,overtime,performance_level,work_travel_frequency,work_satisfaction_level,num_job_changes,status,home_distance,coworker_relationship_level,training_frequency,turnover
12/17/90,Male,1,Laboratory Technician,Research & Development,highschool graduated,Life Sciences,6,5,0,4,2099,0,40,medium,No,execellent,low,low,0,Married,11,good,rarely,No
7/14/90,Female,1,Laboratory Technician,Research & Development,college,Life Sciences,6,5,4,2,2379,0,40,very high,Yes,execellent,high,very high,0,Single,5,execellent,rarely,No
7/23/90,Female,1,Research Scientist,Research & Development,bachelor/engineer,Life Sciences,8,7,6,3,4774,1,40,very high,No,execellent,high,low,0,Married,15,outstanding,rarely,No
12/17/90,Female,2,System Engineer,Engineer,college,Technical Degree,9,8,7,7,6500,0,40,low,No,execellent,low,high,0,Single,2,good,frequently,No
12/25/89,Male,2,Healthcare Representative,Research & Development,college,Medical,9,8,3,7,5661,0,40,medium,No,execellent,low,low,0,Single,16,execellent,rarely,No
10/7/89,Female,3,Manufacturing Director,Research & Development,bachelor/engineer,Medical,10,9,7,7,7655,3,40,very high,No,execellent,low,medium,0,Divorced,3,good,rarely,No
3/15/89,Male,1,Research Scientist,Research & Development,highschool graduated,Life Sciences,6,5,3,4,3201,0,40,low,No,execellent,low,medium,0,Married,2,average,rarely,No
9/17/89,Male,1,Laboratory Technician,Research & Development,master,Medical,5,4,2,2,2154,0,40,very high,Yes,execellent,high,high,0,Single,1,execellent,rarely,No
3/29/89,Female,2,Laboratory Technician,Research & Development,bachelor/engineer,Life Sciences,10,9,8,5,6674,3,40,high,No,execellent,none,very high,0,Married,1,average,frequently,No
4/9/89,Male,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,6,5,4,3,8463,0,40,very high,No,execellent,low,low,0,Single,5,outstanding,frequently,No
9/21/89,Male,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,5,4,2,3,4898,0,40,high,No,execellent,high,low,0,Single,7,outstanding,frequently,No
5/13/89,Female,2,Manufacturing Director,Research & Development,bachelor/engineer,Medical,6,5,3,0,4877,1,40,medium,No,outstanding,low,low,0,Divorced,27,good,frequently,No
1/7/88,Female,2,Laboratory Technician,Research & Development,college,Life Sciences,10,9,5,8,4193,0,40,very high,Yes,execellent,low,high,0,Single,15,outstanding,rarely,No
12/15/88,Male,1,Research Scientist,Research & Development,bachelor/engineer,Life Sciences,6,5,4,4,2703,1,40,high,No,outstanding,low,medium,0,Married,2,outstanding,rarely,No
9/23/88,Male,1,Research Scientist,Research & Development,bachelor/engineer,Technical Degree,7,6,2,5,2058,0,40,high,No,execellent,low,high,0,Single,1,outstanding,none,Yes
9/3/88,Male,1,Laboratory Technician,Research & Development,doctor,Other,4,3,2,2,3983,0,40,medium,No,execellent,low,very high,0,Single,9,execellent,rarely,No
5/24/88,Female,1,Research Scientist,Research & Development,bachelor/engineer,Life Sciences,8,7,5,1,3291,2,40,very high,No,execellent,high,medium,0,Divorced,10,outstanding,rarely,No
4/5/88,Female,1,Research Scientist,Research & Development,highschool graduated,Life Sciences,6,5,4,3,2168,1,40,medium,Yes,execellent,low,very high,0,Married,15,average,rarely,No
6/13/88,Female,3,Healthcare Representative,Research & Development,highschool graduated,Other,9,8,7,7,7553,0,40,high,Yes,execellent,high,very high,0,Single,14,average,none,Yes
3/8/88,Female,1,Laboratory Technician,Research & Development,highschool graduated,Life Sciences,4,3,2,2,3180,3,40,very high,No,execellent,high,medium,0,Married,2,execellent,rarely,No
11/16/88,Male,2,Healthcare Representative,Research & Development,bachelor/engineer,Life Sciences,6,5,3,2,5373,1,40,low,No,execellent,low,low,0,Married,1,average,frequently,No
12/25/87,Male,2,Human Resources,Staff,bachelor/engineer,Human Resources,12,11,9,7,6347,0,40,high,Yes,execellent,low,very high,0,Married,9,outstanding,rarely,No
1/12/87,Male,1,Laboratory Technician,Research & Development,highschool graduated,Medical,6,5,3,2,2720,0,40,medium,No,execellent,low,very high,0,Single,2,outstanding,rarely,No
5/7/87,Female,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,6,5,4,4,6577,0,40,medium,No,execellent,low,high,0,Single,12,good,frequently,No
7/4/87,Female,3,System Engineer,Engineer,master,Technical Degree,10,9,8,8,8412,0,40,high,No,execellent,none,low,0,Married,22,execellent,rarely,No
2/16/87,Female,1,Laboratory Technician,Research & Development,bachelor/engineer,Medical,12,11,7,7,2564,0,40,high,No,execellent,none,very high,0,Single,2,execellent,rarely,No
1/5/87,Male,1,Data Engineer,Engineer,highschool graduated,Technical Degree,4,3,2,2,2983,0,40,very high,No,execellent,low,medium,0,Single,7,average,rarely,No
4/14/87,Female,3,Research Director,Research & Development,college,Life Sciences,9,8,7,7,11416,3,40,medium,Yes,execellent,low,low,0,Married,8,execellent,frequently,No
2/16/87,Female,1,Laboratory Technician,Research & Development,bachelor/engineer,Medical,4,3,2,2,2422,0,40,medium,No,execellent,high,medium,0,Single,5,average,rarely,Yes
9/27/87,Male,2,Manufacturing Director,Research & Development,bachelor/engineer,Other,7,6,2,2,9957,1,40,high,No,execellent,low,low,0,Married,20,execellent,none,No
10/7/87,Male,1,Research Scientist,Research & Development,bachelor/engineer,Medical,12,11,9,7,3579,1,40,very high,Yes,outstanding,low,medium,0,Married,1,average,rarely,No
11/13/87,Female,2,Laboratory Technician,Research & Development,bachelor/engineer,Technical Degree,10,9,2,7,4627,1,40,low,No,execellent,low,very high,0,Married,6,average,frequently,No
11/22/87,Male,1,Human Resources,Staff,bachelor/engineer,Life Sciences,6,5,3,3,2064,1,40,high,No,outstanding,low,high,0,Divorced,1,average,rarely,No
10/10/87,Female,1,Research Scientist,Research & Development,master,Technical Degree,10,9,7,7,4968,0,40,very high,No,execellent,high,low,0,Single,2,outstanding,rarely,No
12/3/86,Male,2,Manufacturing Director,Research & Development,master,Medical,6,5,4,4,4345,1,40,high,No,execellent,none,high,0,Married,1,outstanding,rarely,No
5/7/86,Male,1,Laboratory Technician,Research & Development,college,Medical,6,5,4,4,3479,0,40,high,No,execellent,high,medium,0,Single,29,good,rarely,Yes
5/29/86,Male,2,Healthcare Representative,Research & Development,bachelor/engineer,Medical,10,9,0,8,5582,1,40,medium,No,outstanding,low,very high,0,Married,23,good,rarely,No
8/16/86,Male,1,Research Scientist,Research & Development,master,Technical Degree,6,5,2,3,4821,1,40,high,Yes,execellent,low,very high,0,Married,5,execellent,frequently,No
6/12/86,Male,1,Research Scientist,Research & Development,master,Life Sciences,3,2,2,2,2695,1,40,high,Yes,execellent,low,very high,0,Divorced,2,good,rarely,No
3/31/86,Male,1,Research Scientist,Research & Development,master,Life Sciences,3,2,2,2,2657,0,40,high,Yes,execellent,low,medium,0,Single,9,outstanding,frequently,No
5/17/86,Female,2,Healthcare Representative,Research & Development,bachelor/engineer,Medical,10,9,7,5,5855,2,40,very high,Yes,execellent,low,very high,0,Married,12,execellent,rarely,No
12/20/86,Male,1,Research Scientist,Research & Development,college,Medical,4,3,2,2,2321,0,40,high,Yes,outstanding,none,low,0,Single,9,average,none,Yes
2/3/86,Male,1,Data Engineer,Engineer,bachelor/engineer,Technical Degree,3,2,2,2,2791,1,40,high,No,execellent,high,very high,0,Married,20,average,frequently,No
2/9/86,Male,1,Human Resources,Staff,doctor,Human Resources,2,1,0,0,2956,0,40,very high,No,execellent,low,low,0,Married,18,execellent,frequently,Yes
3/22/86,Male,1,Data Engineer,Engineer,college,Technical Degree,3,2,2,2,3067,1,40,low,No,execellent,low,high,0,Married,2,execellent,none,No
2/21/86,Male,2,Manufacturing Director,Research & Development,bachelor/engineer,Medical,10,9,4,7,9936,0,40,medium,No,execellent,none,low,0,Single,5,good,rarely,No
5/10/85,Male,1,Laboratory Technician,Research & Development,college,Life Sciences,8,7,7,6,3068,0,40,very high,No,execellent,high,very high,0,Single,2,execellent,rarely,No
2/19/85,Male,1,Research Scientist,Research & Development,college,Life Sciences,7,6,2,5,3298,2,40,low,Yes,execellent,low,medium,0,Divorced,5,outstanding,frequently,No
11/29/85,Male,2,System Engineer,Engineer,college,Technical Degree,9,8,7,7,4668,3,40,very high,No,execellent,high,very high,0,Divorced,9,outstanding,rarely,No
10/20/85,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Life Sciences,4,3,2,2,3730,0,40,very high,Yes,execellent,low,high,0,Single,1,outstanding,rarely,Yes
10/4/85,Male,2,System Engineer,Engineer,master,Technical Degree,4,3,2,2,4465,0,40,high,No,execellent,none,very high,0,Married,26,average,rarely,No
1/24/85,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Life Sciences,4,3,0,2,2314,1,40,very high,No,execellent,none,very high,0,Divorced,1,good,rarely,No
12/5/85,Male,2,System Engineer,Engineer,highschool graduated,Technical Degree,4,3,2,2,4078,3,40,high,Yes,execellent,low,medium,0,Married,2,average,rarely,No
8/9/85,Male,2,Research Scientist,Research & Development,bachelor/engineer,Medical,10,9,5,6,5470,2,40,very high,No,execellent,low,medium,0,Divorced,2,execellent,frequently,No
8/6/85,Male,1,Data Engineer,Engineer,master,Technical Degree,3,2,2,2,2269,1,40,medium,No,execellent,low,medium,0,Married,1,good,rarely,No
11/8/84,Male,2,System Engineer,Engineer,college,Technical Degree,8,7,7,7,6146,1,40,high,No,execellent,none,medium,0,Married,22,average,rarely,No
1/13/84,Male,1,Research Scientist,Research & Development,bachelor/engineer,Life Sciences,4,3,1,2,2500,0,40,high,No,execellent,low,very high,0,Single,2,average,rarely,No
2/22/84,Male,2,System Engineer,Engineer,master,Technical Degree,6,5,0,2,7104,0,40,high,No,execellent,low,high,0,Divorced,8,outstanding,rarely,No
10/9/84,Male,3,Research Director,Research & Development,bachelor/engineer,Medical,14,13,9,7,11691,0,40,high,No,execellent,low,high,0,Married,7,outstanding,rarely,No
6/30/84,Female,2,Healthcare Representative,Research & Development,bachelor/engineer,Life Sciences,6,5,0,4,6949,0,40,medium,No,execellent,low,very high,0,Single,1,average,rarely,No
3/30/84,Female,1,Data Engineer,Engineer,highschool graduated,Technical Degree,3,2,2,2,2342,0,40,medium,No,execellent,none,very high,0,Single,8,outstanding,rarely,No
8/1/84,Female,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,4,3,2,2,4302,1,40,very high,No,execellent,high,medium,0,Married,7,execellent,rarely,No
2/13/84,Female,2,System Engineer,Engineer,master,Technical Degree,6,5,2,3,8224,0,40,low,Yes,execellent,low,low,0,Single,9,average,rarely,Yes
8/24/84,Male,1,Research Scientist,Research & Development,bachelor/engineer,Medical,15,14,10,10,2781,1,40,low,No,execellent,low,very high,0,Married,9,good,frequently,No
10/12/84,Male,3,System Engineer,Engineer,doctor,Technical Degree,10,9,8,8,8380,2,40,very high,Yes,execellent,low,high,0,Divorced,10,outstanding,rarely,No
4/3/84,Male,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,5,4,3,3,4373,2,40,very high,No,execellent,high,low,0,Married,7,average,rarely,No
9/4/84,Female,2,Healthcare Representative,Research & Development,college,Medical,10,9,7,1,4878,1,40,medium,Yes,execellent,low,very high,0,Married,15,average,frequently,No
7/9/83,Male,1,Laboratory Technician,Research & Development,college,Medical,3,2,2,2,2661,1,40,medium,No,execellent,low,very high,0,Divorced,19,execellent,rarely,No
8/16/83,Female,3,Research Director,Research & Development,master,Life Sciences,13,12,6,11,11994,0,40,low,No,execellent,low,medium,0,Single,7,execellent,frequently,No
1/12/83,Male,2,System Engineer,Engineer,master,Technical Degree,10,9,5,7,4568,0,40,medium,No,outstanding,none,high,0,Single,23,execellent,rarely,No
7/21/83,Female,1,Data Engineer,Engineer,college,Technical Degree,3,2,2,0,2351,1,40,very high,No,execellent,high,high,0,Divorced,6,outstanding,rarely,Yes
5/23/83,Male,1,Human Resources,Staff,college,Human Resources,4,3,2,2,3737,1,40,high,No,execellent,low,very high,0,Married,3,execellent,none,No
7/4/83,Male,2,System Engineer,Engineer,master,Technical Degree,16,15,1,9,9725,1,40,medium,No,execellent,low,very high,0,Divorced,1,outstanding,rarely,No
5/7/83,Male,2,Healthcare Representative,Research & Development,highschool graduated,Life Sciences,7,6,2,4,7756,0,40,low,No,execellent,high,very high,0,Single,3,execellent,none,No
11/23/83,Male,2,Healthcare Representative,Research & Development,bachelor/engineer,Medical,14,13,9,9,5343,0,40,very high,No,outstanding,high,low,0,Single,1,execellent,rarely,No
1/18/83,Female,1,Research Scientist,Research & Development,bachelor/engineer,Technical Degree,2,1,0,0,2585,0,40,high,No,execellent,low,high,0,Married,20,outstanding,frequently,No
3/7/83,Female,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,4,3,2,2,4538,0,40,high,Yes,execellent,low,low,0,Single,2,outstanding,rarely,No
11/5/83,Male,3,Healthcare Representative,Research & Development,bachelor/engineer,Life Sciences,10,9,7,6,8500,1,40,very high,No,execellent,low,very high,0,Divorced,9,outstanding,none,No
4/24/83,Female,2,System Engineer,Engineer,master,Technical Degree,16,15,9,10,4599,0,40,low,Yes,outstanding,low,medium,0,Single,24,execellent,rarely,Yes
1/17/83,Male,1,Data Engineer,Engineer,college,Technical Degree,12,11,10,7,2308,1,40,medium,Yes,outstanding,low,high,0,Married,7,good,frequently,No
12/4/83,Male,1,Research Scientist,Research & Development,master,Medical,6,5,0,2,2932,3,40,very high,Yes,execellent,low,very high,0,Married,2,average,rarely,No
12/10/82,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Medical,6,5,4,3,2426,1,40,low,No,execellent,low,medium,0,Married,16,execellent,frequently,No
12/1/82,Male,2,System Engineer,Engineer,master,Technical Degree,16,15,13,8,4312,0,40,high,No,execellent,low,low,0,Single,1,good,rarely,No
7/27/82,Male,3,System Engineer,Engineer,bachelor/engineer,Technical Degree,12,11,9,9,8020,2,40,high,No,execellent,low,medium,0,Married,16,execellent,rarely,No
3/10/82,Male,3,Manufacturing Director,Research & Development,master,Technical Degree,17,16,6,13,8095,0,40,high,No,execellent,low,medium,0,Single,5,outstanding,frequently,No
2/18/82,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Life Sciences,6,5,4,3,4230,0,40,very high,No,execellent,low,high,0,Single,22,execellent,rarely,No
10/26/82,Male,3,System Engineer,Engineer,bachelor/engineer,Technical Degree,9,8,7,7,9582,0,40,very high,Yes,outstanding,low,low,0,Single,4,average,rarely,Yes
1/14/82,Male,1,Research Scientist,Research & Development,highschool graduated,Life Sciences,4,3,2,2,3506,0,40,high,Yes,execellent,low,high,0,Married,6,outstanding,rarely,No
10/26/82,Female,2,Laboratory Technician,Research & Development,bachelor/engineer,Medical,10,9,7,0,5363,1,40,very high,No,execellent,low,very high,0,Married,1,good,none,No
12/10/82,Female,2,System Engineer,Engineer,master,Technical Degree,5,4,2,2,4614,1,40,very high,Yes,execellent,high,high,0,Married,18,execellent,none,Yes
1/24/82,Female,1,Data Engineer,Engineer,master,Technical Degree,6,5,3,2,2430,2,40,medium,No,outstanding,low,high,0,Married,28,average,frequently,No
12/6/82,Male,1,Research Scientist,Research & Development,master,Medical,6,5,4,4,4930,0,40,low,Yes,execellent,high,very high,0,Single,2,execellent,rarely,No
11/18/82,Male,1,Laboratory Technician,Research & Development,master,Medical,6,5,4,3,2705,1,40,medium,No,execellent,low,high,0,Married,23,good,rarely,No
9/14/82,Female,2,Manufacturing Director,Research & Development,college,Other,4,3,2,2,4788,0,40,very high,Yes,execellent,low,medium,0,Married,16,outstanding,rarely,No
9/8/82,Male,2,System Engineer,Engineer,master,Technical Degree,6,5,3,4,5561,1,40,medium,No,execellent,low,low,0,Married,18,outstanding,rarely,No
5/17/81,Male,1,Research Scientist,Research & Development,bachelor/engineer,Medical,2,1,0,0,3388,1,40,very high,Yes,execellent,low,high,0,Married,9,average,none,Yes
2/20/81,Female,3,System Engineer,Engineer,college,Technical Degree,10,9,7,8,9738,1,40,medium,No,execellent,high,very high,0,Married,11,execellent,frequently,No
9/18/81,Male,1,Laboratory Technician,Research & Development,bachelor/engineer,Life Sciences,16,15,13,11,3210,1,40,very high,No,execellent,low,very high,0,Married,6,execellent,frequently,No
3/29/81,Female,2,Manufacturing Director,Research & Development,bachelor/engineer,Other,10,9,7,5,5228,1,40,high,No,execellent,low,medium,0,Married,1,average,rarely,No
11/23/81,Male,1,Human Resources,Staff,bachelor/engineer,Life Sciences,6,5,4,3,2342,0,40,low,No,outstanding,low,low,0,Married,8,execellent,rarely,No
11/5/81,Male,2,Healthcare Representative,Research & Development,highschool graduated,Life Sciences,17,16,8,11,6586,1,40,high,Yes,execellent,low,very high,0,Married,14,average,rarely,No
6/21/81,Female,3,Manufacturing Director,Research & Development,doctor,Medical,15,14,8,8,8858,0,40,very high,No,execellent,low,very high,0,Single,12,good,rarely,No
4/19/81,Female,2,Manufacturing Director,Research & Development,master,Medical,4,3,2,2,4374,0,40,very high,No,execellent,none,high,0,Married,1,execellent,frequently,No
2/6/81,Female,3,System Engineer,Engineer,bachelor/engineer,Technical Degree,10,9,7,4,7644,2,40,low,No,execellent,low,very high,0,Married,3,execellent,rarely,No
10/26/80,Female,1,Research Scientist,Research & Development,highschool graduated,Life Sciences,6,5,3,3,2782,2,40,very high,Yes,execellent,low,low,0,Divorced,10,good,rarely,No
6/30/80,Male,1,Laboratory Technician,Research & Development,college,Technical Degree,7,6,5,3,3500,0,40,high,No,execellent,none,high,0,Single,5,average,rarely,No
12/16/79,Male,3,Manufacturing Director,Research & Development,bachelor/engineer,Life Sciences,10,9,7,8,9526,0,40,very high,No,outstanding,high,high,0,Single,23,good,rarely,No
9/30/79,Male,3,System Engineer,Engineer,bachelor/engineer,Technical Degree,17,16,10,13,10609,2,40,low,No,execellent,low,high,0,Divorced,3,execellent,frequently,No
8/16/79,Male,3,Research Director,Research & Development,college,Life Sciences,12,11,10,9,11510,1,40,high,Yes,execellent,low,very high,0,Divorced,15,good,rarely,No
8/23/79,Female,2,System Engineer,Engineer,master,Technical Degree,8,7,7,5,4028,0,40,very high,No,outstanding,low,very high,0,Single,7,average,rarely,No
4/5/79,Female,2,Healthcare Representative,Research & Development,master,Life Sciences,10,9,7,8,7625,0,40,medium,No,execellent,low,very high,0,Single,1,execellent,frequently,No
4/18/79,Male,1,Data Engineer,Engineer,bachelor/engineer,Technical Degree,3,2,2,2,2899,1,40,medium,No,execellent,low,medium,0,Married,9,outstanding,rarely,No
8/1/79,Male,1,Research Scientist,Research & Development,highschool graduated,Medical,3,2,1,2,2684,1,40,high,No,execellent,high,high,0,Married,10,good,none,No
5/12/79,Female,3,Healthcare Representative,Research & Development,highschool graduated,Life Sciences,20,19,9,9,8823,1,40,high,No,execellent,low,high,0,Married,17,average,frequently,No
9/2/79,Male,3,System Engineer,Engineer,master,Technical Degree,9,8,7,7,8740,2,40,high,Yes,execellent,low,high,0,Divorced,10,good,rarely,No
8/10/79,Male,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,10,9,8,7,9924,1,40,high,No,execellent,low,medium,0,Married,14,outstanding,rarely,No
7/4/79,Male,1,Human Resources,Staff,master,Other,7,6,2,2,2991,1,40,very high,Yes,execellent,high,medium,0,Married,1,good,rarely,No
6/16/79,Male,2,System Engineer,Engineer,master,Technical Degree,16,15,13,8,4440,2,40,very high,No,execellent,low,medium,0,Married,1,average,rarely,No
7/21/78,Female,3,Healthcare Representative,Research & Development,master,Technical Degree,20,19,6,8,10938,0,40,high,No,outstanding,high,high,0,Single,2,outstanding,none,No
8/5/78,Male,3,Healthcare Representative,Research & Development,bachelor/engineer,Medical,19,18,10,7,9613,3,40,high,No,execellent,low,very high,0,Divorced,1,average,frequently,No
10/19/78,Male,3,System Engineer,Engineer,doctor,Technical Degree,9,8,7,7,7880,0,40,low,No,execellent,low,high,0,Single,2,outstanding,rarely,No
5/14/78,Male,1,Research Scientist,Research & Development,bachelor/engineer,Medical,6,5,2,3,3904,0,40,high,No,execellent,low,low,0,Single,23,average,rarely,Yes
10/5/78,Male,2,Manufacturing Director,Research & Development,college,Life Sciences,9,8,7,7,4534,0,40,low,No,execellent,low,high,0,Single,18,average,frequently,No
2/16/78,Male,2,Laboratory Technician,Research & Development,college,Medical,11,10,8,7,3069,1,40,high,No,execellent,low,high,0,Divorced,3,outstanding,rarely,No
1/31/78,Female,2,Manufacturing Director,Research & Development,bachelor/engineer,Medical,10,9,2,8,5042,0,40,low,No,execellent,high,high,0,Single,4,outstanding,rarely,No
4/20/78,Male,4,System Engineer,Engineer,master,Technical Degree,21,20,8,10,13341,0,40,medium,No,execellent,low,low,0,Single,15,average,rarely,No
9/30/78,Female,4,System Engineer,Engineer,highschool graduated,Technical Degree,21,20,9,6,12031,1,40,medium,No,execellent,low,very high,0,Married,24,average,rarely,No
6/30/77,Male,5,Research Director,Research & Development,college,Medical,22,21,7,9,19436,1,40,low,No,execellent,low,high,0,Divorced,2,outstanding,frequently,No
3/21/77,Female,5,Manager,Engineer,master,Technical Degree,21,20,15,12,18041,0,40,high,No,execellent,low,high,0,Married,2,outstanding,rarely,No
9/9/77,Female,1,Research Scientist,Research & Development,highschool graduated,Medical,5,4,2,3,2342,0,40,very high,Yes,outstanding,low,very high,0,Single,2,outstanding,rarely,No
9/2/77,Male,2,System Engineer,Engineer,college,Technical Degree,9,8,4,1,5473,0,40,low,No,execellent,low,low,0,Married,9,outstanding,frequently,No
4/8/76,Female,2,System Engineer,Engineer,bachelor/engineer,Technical Degree,10,9,3,7,4103,1,40,high,No,execellent,high,low,0,Divorced,1,outstanding,rarely,No
10/1/76,Female,3,System Engineer,Engineer,highschool graduated,Technical Degree,23,22,14,5,10447,1,40,high,Yes,execellent,low,high,0,Divorced,4,outstanding,rarely,No
10/28/76,Female,4,Manufacturing Director,Research & Development,master,Life Sciences,21,20,7,10,13570,1,40,low,No,outstanding,low,medium,0,Married,28,execellent,rarely,No
5/9/75,Male,2,System Engineer,Engineer,master,Technical Degree,10,9,7,2,6825,1,40,high,No,execellent,low,medium,0,Married,8,outstanding,rarely,No
3/20/75,Female,1,Laboratory Technician,Research & Development,bachelor/engineer,Medical,10,9,6,8,2593,1,40,very high,Yes,execellent,low,low,0,Divorced,2,execellent,frequently,No
8/13/75,Male,1,Human Resources,Staff,highschool graduated,Technical Degree,4,3,2,0,2696,1,40,high,Yes,execellent,low,high,0,Divorced,2,execellent,frequently,No
9/10/75,Female,2,Healthcare Representative,Research & Development,master,Technical Degree,7,6,5,4,4523,3,40,very high,No,execellent,high,very high,0,Married,28,outstanding,frequently,No
7/30/75,Male,4,Manager,Research & Development,college,Medical,23,22,6,7,17665,1,40,very high,No,execellent,low,low,0,Married,2,outstanding,rarely,No
